fcode,description,canalditchtype,constructionmaterial,hydrographiccategory,inundationcontrolstatus,operationalstatus,pipelinetype,positionalaccuracy,relationshiptosurface,reservoirtype,stage,kcode
42809,"Pipeline: Pipeline Type = Penstock; Relationship to Surface = At or Near", , , , , ,Penstock, ,At or Near, ,,"428,PIT287,RTS32"
42810,"Pipeline: Pipeline Type = Penstock; Relationship to Surface = Elevated", , , , , ,Penstock, ,Elevated, ,,"428,PIT287,RTS120"
42811,"Pipeline: Pipeline Type = Penstock; Relationship to Surface = Underground", , , , , ,Penstock, ,Underground, ,,"428,PIT287,RTS423"
42812,"Pipeline: Pipeline Type = Penstock; Relationship to Surface = Underwater", , , , , ,Penstock, ,Underwater, ,,"428,PIT287,RTS424"
42813,Pipeline: Pipeline Type = Siphon, , , , , ,Siphon, ,, ,,"428,PIT369"
42814,Pipeline: Pipeline Type = General Case,,,,,,General Case,,,,,"428,PIT145"
42815,Pipeline: Pipeline Type = Penstock,,,,,,Penstock,,,,,"428,PIT287"
42816,Pipeline: Pipeline Type = Aqueduct,,,,,,Aqueduct,,,,,"428,PIT30"
43100,Rapids, , , , , , , , , ,,"431"
43400,Reef, , , , , , , , , ,,"434"
43600,Reservoir, , , , , , , , , ,,"436"
43601,Reservoir: Reservoir Type = Aquaculture, ,, , , , , , ,Aquaculture,,"436,RET29"
43603,Reservoir: Reservoir Type = Decorative Pool, ,, , , , , , ,Decorative Pool,,"436,RET93"
43604,"Reservoir: Reservoir Type = Tailings Pond; Construction Material = Earthen", ,Earthen, , , , , , ,Tailings Pond,,"436,RET401,COM115"
43605,Reservoir: Reservoir Type = Tailings Pond, ,, , , , , , ,Tailings Pond,,"436,RET401"
43606,Reservoir: Reservoir Type = Disposal, ,, , , , , , ,Disposal,,"436,RET99"
43607,Reservoir: Reservoir Type = Evaporator, ,, , , , , , ,Evaporator,,"436,RET123"
43608,Reservoir: Reservoir Type = Swimming Pool, ,, , , , , , ,Swimming Pool,,"436,RET397"
43609,Reservoir: Reservoir Type = Cooling Pond, ,, , , , , , ,Cooling Pond,,"436,RET77"
43610,Reservoir: Reservoir Type = Filtration Pond, ,, , , , , , ,Filtration Pond,,"436,RET134"
43611,Reservoir: Reservoir Type = Settling Pond, ,, , , , , , ,Settling Pond,,"436,RET358"
43612,Reservoir: Reservoir Type = Sewage Treatment Pond, ,, , , , , , ,Sewage Treatment Pond,,"436,RET360"
43613,"Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen", ,Nonearthen,, , , , , ,Water Storage,,"436,RET442,COM248"
43614,"Reservoir: Reservoir Type = Water Storage; Construction Material = Earthen; Hydrographic Category = Intermittent", ,Earthen,Intermittent, , , , , ,Water Storage,,"436,RET442,COM115,HYC189"
43615,"Reservoir: Reservoir Type = Water Storage; Construction Material = Earthen; Hydrographic Category = Perennial", ,Earthen,Perennial, , , , , ,Water Storage,,"436,RET442,COM115,HYC289"
43617,Reservoir: Reservoir Type = Water Storage, ,,, , , , , ,Water Storage,,"436,RET442"
43618,Reservoir: Construction Material = Earthen, ,Earthen, , , , , , ,,,"436,COM115"
43619,Reservoir: Construction Material = Nonearthen, ,Nonearthen, , , , , , ,,,"436,COM248"
43621,"Reservoir: Reservoir Type = Water Storage; Hydrographic Category = Perennial", ,,Perennial, , , , , ,Water Storage,,"436,RET442,HYC289"
43623,"Reservoir: Reservoir Type = Evaporator; Construction Material = Earthen",,Earthen,,,,,,,Evaporator,,"436,RET123,COM115"
44100,Rock, , , , , , , , , ,,"441"
